Gebieden,onderwerpen,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Berendrecht Zandvliet Lillo,Aandeel inwoners dat basisonderwijs volgt,12.5181498,12.1259678,11.8401836,11.7425432,11.5356509,11.1549237,11.354027,11.5194565,11.6637729,11.6144137
Berendrecht Zandvliet Lillo,Aantal leerlingen basisonderwijs - jongens,603,590,572,552,531,530,540,552,566,585
Berendrecht Zandvliet Lillo,Aantal leerlingen basisonderwijs - meisjes,604,569,563,570,574,545,561,567,576,556
Berendrecht Zandvliet Lillo,Aantal leerlingen basisonderwijs - school buiten Antwerpen,229,219,223,207,215,194,179,186,204,208
Berendrecht Zandvliet Lillo,Aantal leerlingen basisonderwijs - school binnen Antwerpen,978,940,912,915,890,881,922,933,938,933
Berendrecht Zandvliet Lillo,Leerlingen basisonderwijs - percentage jongens,49.958575,50.9059534,50.3964758,49.197861,48.0542986,49.3023256,49.0463215,49.3297587,49.5621716,51.2708151
Berendrecht Zandvliet Lillo,Leerlingen basisonderwijs - percentage meisjes,50.041425,49.0940466,49.6035242,50.802139,51.9457014,50.6976744,50.9536785,50.6702413,50.4378284,48.7291849
Berendrecht Zandvliet Lillo,Leerlingen basisonderwijs - percentage school buiten Antwerpen,18.9726595,18.8955997,19.6475771,18.4491979,19.4570136,18.0465116,16.2579473,16.6219839,17.8633975,18.2296231
Berendrecht Zandvliet Lillo,Leerlingen basisonderwijs - percentage school binnen Antwerpen,81.0273405,81.1044003,80.3524229,81.5508021,80.5429864,81.9534884,83.7420527,83.3780161,82.1366025,81.7703769
Berendrecht Zandvliet Lillo,Aantal leerlingen gewoon kleuteronderwijs,417,401,384,371,355,362,414,448,444,450
Berendrecht Zandvliet Lillo,Aantal leerlingen buitengewoon kleuteronderwijs,5,0,0,5,10,8,0,0,0,0
Berendrecht Zandvliet Lillo,Aantal leerlingen kleuteronderwijs totaal,422,404,386,376,365,370,418,452,447,452
Berendrecht Zandvliet Lillo,Leerlingen basisonderwijs - percentage gewoon kleuteronderwijs,34.5484673,34.5987921,33.8325991,33.0659537,32.1266968,33.6744186,37.6021798,40.0357462,38.8791594,39.4390885
Berendrecht Zandvliet Lillo,Leerlingen basisonderwijs - percentage buitengewoon kleuteronderwijs,0.4142502,0.2588438,0.1762115,0.4456328,0.9049774,0.744186,0.3633061,0.357462,0.262697,0.1752848
Berendrecht Zandvliet Lillo,Leerlingen basisonderwijs - percentage kleuteronderwijs totaal,34.9627175,34.8576359,34.0088106,33.5115865,33.0316742,34.4186047,37.9654859,40.3932082,39.1418564,39.6143734
Berendrecht Zandvliet Lillo,Aantal leerlingen gewoon lager onderwijs,688,669,675,689,681,653,626,615,640,634
Berendrecht Zandvliet Lillo,Aantal leerlingen buitengewoon lager onderwijs,97,86,74,57,59,52,57,52,55,55
Berendrecht Zandvliet Lillo,Aantal leerlingen lager onderwijs totaal,785,755,749,746,740,705,683,667,695,689
Berendrecht Zandvliet Lillo,Leerlingen basisonderwijs - percentage gewoon lager onderwijs,57.0008285,57.7221743,59.4713656,61.4081996,61.6289593,60.744186,56.8574024,54.9597855,56.0420315,55.5652936
Berendrecht Zandvliet Lillo,Leerlingen basisonderwijs - percentage buitengewoon lager onderwijs,8.036454,7.4201898,6.5198238,5.0802139,5.3393665,4.8372093,5.1771117,4.6470063,4.8161121,4.820333
Berendrecht Zandvliet Lillo,Leerlingen basisonderwijs - percentage lager onderwijs totaal,65.0372825,65.1423641,65.9911894,66.4884135,66.9683258,65.5813953,62.0345141,59.6067918,60.8581436,60.3856266
Berendrecht Zandvliet Lillo,Aantal leerlingen gewoon lager onderwijs zonder schoolse vertraging,536,524,518,525,520,514,498,508,519,529
Berendrecht Zandvliet Lillo,Aantal leerlingen gewoon lager onderwijs met 1 jaar schoolse vertraging,135,130,138,144,140,119,115,98,105,94
Berendrecht Zandvliet Lillo,Aantal leerlingen gewoon lager onderwijs met meer dan 1 jaar schoolse vertraging,15,15,18,20,15,16,10,7,13,7
Berendrecht Zandvliet Lillo,Aantal leerlingen gewoon lager onderwijs met schoolse vertraging,150,145,156,164,155,135,125,105,118,101
Berendrecht Zandvliet Lillo,Percentage leerlingen gewoon lager onderwijs zonder schoolse vertraging,78.1341108,78.3258595,76.8545994,76.1973875,77.037037,79.1987673,79.9357945,82.8711256,81.4756672,83.968254
Berendrecht Zandvliet Lillo,Percentage leerlingen gewoon lager onderwijs met 1 jaar schoolse vertraging,19.6793003,19.431988,20.4747774,20.8998549,20.7407407,18.3359014,18.459069,15.9869494,16.4835165,14.9206349
Berendrecht Zandvliet Lillo,Percentage leerlingen gewoon lager onderwijs met meer dan 1 jaar schoolse vertraging,2.1865889,2.2421525,2.6706231,2.9027576,2.2222222,2.4653313,1.6051364,1.141925,2.0408163,1.1111111
Berendrecht Zandvliet Lillo,Percentage leerlingen gewoon lager onderwijs met schoolse vertraging,21.8658892,21.6741405,23.1454006,23.8026125,22.962963,20.8012327,20.0642055,17.1288744,18.5243328,16.031746
Berendrecht Zandvliet Lillo,Aandeel GOK-leerlingen basisonderwijs,0,0,0,0,0,0,0,0,0,0
Berendrecht Zandvliet Lillo,Aandeel indicator-leerlingen,0,0,0,0,0,0,0,0,0,36.5313653
Berendrecht Zandvliet Lillo,Aandeel met thuistaal niet Nederlands,0,0,0,0,0,0,0,0,0,6.4575646
Berendrecht Zandvliet Lillo,Aandeel met laag opgeleide moeder,0,0,0,0,0,0,0,0,0,24.7232472
Berendrecht Zandvliet Lillo,Aandeel thuisloze leerlingen,0,0,0,0,0,0,0,0,0,0.5535055
Berendrecht Zandvliet Lillo,Aandeel leerlingen trekkende bevolking,0,0,0,0,0,0,0,0,0,0.4612546
Berendrecht Zandvliet Lillo,Aandeel leerlingen met schooltoelage,0,0,0,0,0,0,0,0,0,23.2472325
Berendrecht Zandvliet Lillo,Aantal GOK-leerlingen basisonderwijs,0,0,0,0,0,0,0,0,0,0
Berendrecht Zandvliet Lillo,Aantal indicator-leerlingen basisonderwijs,0,0,0,0,0,0,0,0,0,396
Berendrecht Zandvliet Lillo,Aantal leerlingen met thuistaal niet Nederlands,0,0,0,0,0,0,0,0,0,70
Berendrecht Zandvliet Lillo,Aantal leerlingen met laag opgeleide moeder,0,0,0,0,0,0,0,0,0,268
Berendrecht Zandvliet Lillo,Aantal thuisloze leerlingen,0,0,0,0,0,0,0,0,0,6
Berendrecht Zandvliet Lillo,Aantal leerlingen uit trekkende bevolking,0,0,0,0,0,0,0,0,0,5
Berendrecht Zandvliet Lillo,Aantal leerlingen met schooltoelage,0,0,0,0,0,0,0,0,0,252
Berendrecht Zandvliet Lillo,Aantal leerlingen basisonderwijs (GOK-telling),0,0,0,0,0,0,0,0,0,1084
Ekeren,Aantal leerlingen basisonderwijs,2693,2618,2598,2571,2519,2483,2450,2458,2470,2442
Ekeren,Aandeel inwoners dat basisonderwijs volgt,12.0632503,11.7283398,11.5966612,11.4236204,11.22499,11.0833371,10.8445467,10.833921,10.9330737,10.7943244
Ekeren,Aantal leerlingen basisonderwijs - jongens,1346,1313,1309,1327,1305,1289,1245,1244,1262,1264
Ekeren,Aantal leerlingen basisonderwijs - meisjes,1347,1305,1289,1244,1214,1194,1205,1214,1208,1178
Ekeren,Aantal leerlingen basisonderwijs - school buiten Antwerpen,575,566,565,561,565,574,563,591,623,609
Ekeren,Aantal leerlingen basisonderwijs - school binnen Antwerpen,2118,2052,2033,2010,1954,1909,1887,1867,1847,1833
Ekeren,Leerlingen basisonderwijs - percentage jongens,49.9814333,50.1527884,50.3849115,51.6141579,51.8062723,51.9130085,50.8163265,50.6102522,51.0931174,51.7608518
Ekeren,Leerlingen basisonderwijs - percentage meisjes,50.0185667,49.8472116,49.6150885,48.3858421,48.1937277,48.0869915,49.1836735,49.3897478,48.9068826,48.2391482
Ekeren,Leerlingen basisonderwijs - percentage school buiten Antwerpen,21.3516524,21.6195569,21.7474981,21.8203034,22.4295355,23.1171969,22.9795918,24.0439382,25.2226721,24.9385749
Ekeren,Leerlingen basisonderwijs - percentage school binnen Antwerpen,78.6483476,78.3804431,78.2525019,78.1796966,77.5704645,76.8828031,77.0204082,75.9560618,74.7773279,75.0614251
Ekeren,Aantal leerlingen gewoon kleuteronderwijs,976,943,923,893,873,887,889,912,916,913
Ekeren,Aantal leerlingen buitengewoon kleuteronderwijs,6,5,5,0,6,5,5,5,7,8
Ekeren,Aantal leerlingen kleuteronderwijs totaal,982,948,928,896,879,892,894,917,923,921
Ekeren,Leerlingen basisonderwijs - percentage gewoon kleuteronderwijs,36.2421092,36.0198625,35.5273287,34.7335667,34.6566098,35.7229158,36.2857143,37.103336,37.0850202,37.3873874
Ekeren,Leerlingen basisonderwijs - percentage buitengewoon kleuteronderwijs,0.2227999,0.1909855,0.1924557,0.1166861,0.2381898,0.2013693,0.2040816,0.2034174,0.2834008,0.3276003
Ekeren,Leerlingen basisonderwijs - percentage kleuteronderwijs totaal,36.464909,36.210848,35.7197844,34.8502528,34.8947995,35.9242851,36.4897959,37.3067535,37.3684211,37.7149877
