Gebieden,onderwerpen,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Hoboken,Leerlingen basisonderwijs - percentage gewoon lager onderwijs,58.6489747,58.8623047,58.5047181,58.7071877,57.1743389,55.6009615,55.9129612,55.8690745,54.9173194,55.0703642
Hoboken,Leerlingen basisonderwijs - percentage buitengewoon lager onderwijs,6.562123,6.5185547,6.5085894,6.2228654,6.5132223,6.9711538,6.4333018,6.523702,5.8529156,5.5463576
Hoboken,Leerlingen basisonderwijs - percentage lager onderwijs totaal,65.2110977,65.3808594,65.0133075,64.9300531,63.6875612,62.5721154,62.346263,62.3927765,60.770235,60.6167219
Hoboken,Aantal leerlingen gewoon lager onderwijs zonder schoolse vertraging,1796,1786,1750,1760,1648,1651,1671,1725,1758,1865
Hoboken,Aantal leerlingen gewoon lager onderwijs met 1 jaar schoolse vertraging,525,521,547,537,553,526,531,578,583,603
Hoboken,Aantal leerlingen gewoon lager onderwijs met meer dan 1 jaar schoolse vertraging,99,91,99,107,106,103,120,127,147,151
Hoboken,Aantal leerlingen gewoon lager onderwijs met schoolse vertraging,624,612,646,644,659,629,651,705,730,754
Hoboken,Percentage leerlingen gewoon lager onderwijs zonder schoolse vertraging,74.214876,74.4787323,73.0383973,73.2113145,71.4347638,72.4122807,71.9638243,70.9876543,70.659164,71.2103856
Hoboken,Percentage leerlingen gewoon lager onderwijs met 1 jaar schoolse vertraging,21.6942149,21.7264387,22.8297162,22.3377704,23.9705245,23.0701754,22.8682171,23.7860082,23.4324759,23.024055
Hoboken,Percentage leerlingen gewoon lager onderwijs met meer dan 1 jaar schoolse vertraging,4.0909091,3.794829,4.1318865,4.4509151,4.5947117,4.5175439,5.1679587,5.2263374,5.9083601,5.7655594
Hoboken,Percentage leerlingen gewoon lager onderwijs met schoolse vertraging,25.785124,25.5212677,26.9616027,26.7886855,28.5652362,27.5877193,28.0361757,29.0123457,29.340836,28.7896144
Hoboken,Aandeel GOK-leerlingen basisonderwijs,0,0,0,0,0,0,0,0,0,0
Hoboken,Aandeel indicator-leerlingen,0,0,0,0,0,0,0,0,0,61.0463838
Hoboken,Aandeel met thuistaal niet Nederlands,0,0,0,0,0,0,0,0,0,30.4022862
Hoboken,Aandeel met laag opgeleide moeder,0,0,0,0,0,0,0,0,0,45.4825236
Hoboken,Aandeel thuisloze leerlingen,0,0,0,0,0,0,0,0,0,0.6594856
Hoboken,Aandeel leerlingen trekkende bevolking,0,0,0,0,0,0,0,0,0,1.5827654
Hoboken,Aandeel leerlingen met schooltoelage,0,0,0,0,0,0,0,0,0,41.8773357
Hoboken,Aantal GOK-leerlingen basisonderwijs,0,0,0,0,0,0,0,0,0,0
Hoboken,Aantal indicator-leerlingen basisonderwijs,0,0,0,0,0,0,0,0,0,2777
Hoboken,Aantal leerlingen met thuistaal niet Nederlands,0,0,0,0,0,0,0,0,0,1383
Hoboken,Aantal leerlingen met laag opgeleide moeder,0,0,0,0,0,0,0,0,0,2069
Hoboken,Aantal thuisloze leerlingen,0,0,0,0,0,0,0,0,0,30
Hoboken,Aantal leerlingen uit trekkende bevolking,0,0,0,0,0,0,0,0,0,72
Hoboken,Aantal leerlingen met schooltoelage,0,0,0,0,0,0,0,0,0,1905
Hoboken,Aantal leerlingen basisonderwijs (GOK-telling),0,0,0,0,0,0,0,0,0,4549
Wilrijk,Aantal leerlingen basisonderwijs,3780,3777,3731,3753,3830,3825,3761,3813,4012,4080
Wilrijk,Aandeel inwoners dat basisonderwijs volgt,9.7973148,9.8205928,9.7052779,9.7285948,9.9625429,9.9077864,9.6490328,9.7756698,10.2522168,10.2271018
Wilrijk,Aantal leerlingen basisonderwijs - jongens,1944,1937,1898,1882,1924,1947,1917,1941,2034,2066
Wilrijk,Aantal leerlingen basisonderwijs - meisjes,1836,1840,1833,1871,1906,1878,1844,1872,1978,2014
Wilrijk,Aantal leerlingen basisonderwijs - school buiten Antwerpen,421,445,430,441,435,435,420,451,495,516
Wilrijk,Aantal leerlingen basisonderwijs - school binnen Antwerpen,3359,3332,3301,3312,3395,3390,3341,3362,3517,3564
Wilrijk,Leerlingen basisonderwijs - percentage jongens,51.4285714,51.2840879,50.8710801,50.1465494,50.2349869,50.9019608,50.9704866,50.9047994,50.6979063,50.6372549
Wilrijk,Leerlingen basisonderwijs - percentage meisjes,48.5714286,48.7159121,49.1289199,49.8534506,49.7650131,49.0980392,49.0295134,49.0952006,49.3020937,49.3627451
Wilrijk,Leerlingen basisonderwijs - percentage school buiten Antwerpen,11.1375661,11.7818374,11.5250603,11.7505995,11.3577023,11.372549,11.1672428,11.827957,12.337986,12.6470588
Wilrijk,Leerlingen basisonderwijs - percentage school binnen Antwerpen,88.8624339,88.2181626,88.4749397,88.2494005,88.6422977,88.627451,88.8327572,88.172043,87.662014,87.3529412
Wilrijk,Aantal leerlingen gewoon kleuteronderwijs,1385,1364,1340,1391,1401,1422,1404,1400,1526,1602
Wilrijk,Aantal leerlingen buitengewoon kleuteronderwijs,12,12,9,11,14,16,13,10,12,8
Wilrijk,Aantal leerlingen kleuteronderwijs totaal,1397,1376,1349,1402,1415,1438,1417,1410,1538,1610
Wilrijk,Leerlingen basisonderwijs - percentage gewoon kleuteronderwijs,36.6402116,36.1133174,35.9153042,37.0636824,36.5796345,37.1764706,37.3304972,36.7164962,38.0358923,39.2647059
Wilrijk,Leerlingen basisonderwijs - percentage buitengewoon kleuteronderwijs,0.3174603,0.3177125,0.2412222,0.2930989,0.3655352,0.4183007,0.3456528,0.2622607,0.2991027,0.1960784
Wilrijk,Leerlingen basisonderwijs - percentage kleuteronderwijs totaal,36.957672,36.4310299,36.1565264,37.3567812,36.9451697,37.5947712,37.67615,36.9787569,38.334995,39.4607843
Wilrijk,Aantal leerlingen gewoon lager onderwijs,2198,2217,2204,2157,2234,2213,2182,2238,2297,2296
Wilrijk,Aantal leerlingen buitengewoon lager onderwijs,185,184,178,194,181,174,162,165,177,174
Wilrijk,Aantal leerlingen lager onderwijs totaal,2383,2401,2382,2351,2415,2387,2344,2403,2474,2470
Wilrijk,Leerlingen basisonderwijs - percentage gewoon lager onderwijs,58.1481481,58.6973789,59.0726347,57.4740208,58.3289817,57.8562092,58.016485,58.6939418,57.2532403,56.2745098
Wilrijk,Leerlingen basisonderwijs - percentage buitengewoon lager onderwijs,4.8941799,4.8715912,4.7708389,5.169198,4.7258486,4.5490196,4.3073651,4.3273013,4.4117647,4.2647059
Wilrijk,Leerlingen basisonderwijs - percentage lager onderwijs totaal,63.042328,63.5689701,63.8434736,62.6432188,63.0548303,62.4052288,62.32385,63.0212431,61.665005,60.5392157
Wilrijk,Aantal leerlingen gewoon lager onderwijs zonder schoolse vertraging,1804,1813,1822,1762,1791,1759,1743,1761,1800,1811
Wilrijk,Aantal leerlingen gewoon lager onderwijs met 1 jaar schoolse vertraging,307,303,298,314,350,355,336,358,377,369
Wilrijk,Aantal leerlingen gewoon lager onderwijs met meer dan 1 jaar schoolse vertraging,49,57,39,32,41,50,53,67,60,61
Wilrijk,Aantal leerlingen gewoon lager onderwijs met schoolse vertraging,356,360,337,346,391,405,389,425,437,430
Wilrijk,Percentage leerlingen gewoon lager onderwijs zonder schoolse vertraging,83.5185185,83.4330419,84.3909217,83.5863378,82.0806599,81.284658,81.7542214,80.558097,80.4649084,80.8121374
Wilrijk,Percentage leerlingen gewoon lager onderwijs met 1 jaar schoolse vertraging,14.212963,13.9438564,13.8026864,14.8956357,16.04033,16.4048059,15.7598499,16.3769442,16.852928,16.4658635
Wilrijk,Percentage leerlingen gewoon lager onderwijs met meer dan 1 jaar schoolse vertraging,2.2685185,2.6231017,1.8063918,1.5180266,1.8790101,2.310536,2.4859287,3.0649588,2.6821636,2.7219991
Wilrijk,Percentage leerlingen gewoon lager onderwijs met schoolse vertraging,16.4814815,16.5669581,15.6090783,16.4136622,17.9193401,18.715342,18.2457786,19.441903,19.5350916,19.1878626
Wilrijk,Aandeel GOK-leerlingen basisonderwijs,0,0,0,0,0,0,0,0,0,0
Wilrijk,Aandeel indicator-leerlingen,0,0,0,0,0,0,0,0,0,43.0477168
Wilrijk,Aandeel met thuistaal niet Nederlands,0,0,0,0,0,0,0,0,0,26.1929194
Wilrijk,Aandeel met laag opgeleide moeder,0,0,0,0,0,0,0,0,0,29.5279631
Wilrijk,Aandeel thuisloze leerlingen,0,0,0,0,0,0,0,0,0,0.3335044
Wilrijk,Aandeel leerlingen trekkende bevolking,0,0,0,0,0,0,0,0,0,1.41098
Wilrijk,Aandeel leerlingen met schooltoelage,0,0,0,0,0,0,0,0,0,29.4510005
Wilrijk,Aantal GOK-leerlingen basisonderwijs,0,0,0,0,0,0,0,0,0,0
Wilrijk,Aantal indicator-leerlingen basisonderwijs,0,0,0,0,0,0,0,0,0,1678
Wilrijk,Aantal leerlingen met thuistaal niet Nederlands,0,0,0,0,0,0,0,0,0,1021
Wilrijk,Aantal leerlingen met laag opgeleide moeder,0,0,0,0,0,0,0,0,0,1151
Wilrijk,Aantal thuisloze leerlingen,0,0,0,0,0,0,0,0,0,13
Wilrijk,Aantal leerlingen uit trekkende bevolking,0,0,0,0,0,0,0,0,0,55
Wilrijk,Aantal leerlingen met schooltoelage,0,0,0,0,0,0,0,0,0,1148
Wilrijk,Aantal leerlingen basisonderwijs (GOK-telling),0,0,0,0,0,0,0,0,0,3898
Berchem,Aantal leerlingen basisonderwijs,3857,3842,3797,3816,3702,3792,3915,4188,4274,4303
Berchem,Aandeel inwoners dat basisonderwijs volgt,9.6117424,9.5278246,9.4586852,9.4967896,9.1393868,9.2927511,9.4551514,10.0586031,10.2234129,10.0983314
Berchem,Aantal leerlingen basisonderwijs - jongens,2048,2022,1984,1996,1941,1932,2031,2175,2184,2201
Berchem,Aantal leerlingen basisonderwijs - meisjes,1809,1820,1813,1820,1761,1860,1884,2013,2090,2102
Berchem,Aantal leerlingen basisonderwijs - school buiten Antwerpen,217,238,242,247,247,255,235,295,281,300
Berchem,Aantal leerlingen basisonderwijs - school binnen Antwerpen,3640,3604,3555,3569,3455,3537,3680,3893,3993,4003
Berchem,Leerlingen basisonderwijs - percentage jongens,53.0982629,52.6288391,52.2517777,52.3060797,52.4311183,50.9493671,51.8773946,51.9340974,51.0996724,51.1503602
Berchem,Leerlingen basisonderwijs - percentage meisjes,46.9017371,47.3711609,47.7482223,47.6939203,47.5688817,49.0506329,48.1226054,48.0659026,48.9003276,48.8496398
Berchem,Leerlingen basisonderwijs - percentage school buiten Antwerpen,5.6261343,6.1946903,6.3734527,6.4727463,6.6720692,6.7246835,6.0025543,7.0439351,6.5746373,6.9718801
Berchem,Leerlingen basisonderwijs - percentage school binnen Antwerpen,94.3738657,93.8053097,93.6265473,93.5272537,93.3279308,93.2753165,93.9974457,92.9560649,93.4253627,93.0281199
Berchem,Aantal leerlingen gewoon kleuteronderwijs,1417,1439,1402,1444,1449,1529,1578,1731,1778,1759
Berchem,Aantal leerlingen buitengewoon kleuteronderwijs,10,12,8,12,10,11,15,13,17,18
Berchem,Aantal leerlingen kleuteronderwijs totaal,1427,1451,1410,1456,1459,1540,1593,1744,1795,1777
Berchem,Leerlingen basisonderwijs - percentage gewoon kleuteronderwijs,36.7383977,37.4544508,36.9238873,37.8406709,39.1410049,40.32173,40.3065134,41.3323782,41.6003744,40.8784569
Berchem,Leerlingen basisonderwijs - percentage buitengewoon kleuteronderwijs,0.2592689,0.3123373,0.2106927,0.3144654,0.2701243,0.2900844,0.3831418,0.3104107,0.3977539,0.4183128
Berchem,Leerlingen basisonderwijs - percentage kleuteronderwijs totaal,36.9976666,37.7667881,37.1345799,38.1551363,39.4111291,40.6118143,40.6896552,41.6427889,41.9981282,41.2967697
Berchem,Aantal leerlingen gewoon lager onderwijs,2255,2218,2215,2183,2087,2090,2156,2273,2313,2350
Berchem,Aantal leerlingen buitengewoon lager onderwijs,175,173,172,177,156,162,166,171,166,176
Berchem,Aantal leerlingen lager onderwijs totaal,2430,2391,2387,2360,2243,2252,2322,2444,2479,2526
Berchem,Leerlingen basisonderwijs - percentage gewoon lager onderwijs,58.4651283,57.7303488,58.335528,57.206499,56.3749325,55.1160338,55.0702427,54.2741165,54.1179223,54.6130607
Berchem,Leerlingen basisonderwijs - percentage buitengewoon lager onderwijs,4.5372051,4.5028631,4.529892,4.6383648,4.2139384,4.2721519,4.2401022,4.0830946,3.8839495,4.0901696
Berchem,Leerlingen basisonderwijs - percentage lager onderwijs totaal,63.0023334,62.2332119,62.8654201,61.8448637,60.5888709,59.3881857,59.3103448,58.3572111,58.0018718,58.7032303
Berchem,Aantal leerlingen gewoon lager onderwijs zonder schoolse vertraging,1648,1612,1645,1646,1574,1552,1597,1669,1660,1711
Berchem,Aantal leerlingen gewoon lager onderwijs met 1 jaar schoolse vertraging,431,433,414,386,359,362,371,404,441,419
Berchem,Aantal leerlingen gewoon lager onderwijs met meer dan 1 jaar schoolse vertraging,77,76,62,53,54,62,55,64,80,66
Berchem,Aantal leerlingen gewoon lager onderwijs met schoolse vertraging,508,509,476,439,413,424,426,468,521,485
Berchem,Percentage leerlingen gewoon lager onderwijs zonder schoolse vertraging,76.4378479,76.0018859,77.5577558,78.9448441,79.2148968,78.5425101,78.9421651,78.1001404,76.1118753,77.9143898
Berchem,Percentage leerlingen gewoon lager onderwijs met 1 jaar schoolse vertraging,19.9907236,20.4148986,19.5190948,18.5131894,18.0674383,18.3198381,18.3391003,18.905007,20.2200825,19.0801457
Berchem,Percentage leerlingen gewoon lager onderwijs met meer dan 1 jaar schoolse vertraging,3.5714286,3.5832155,2.9231495,2.5419664,2.7176648,3.1376518,2.7187346,2.9948526,3.6680422,3.0054645
Berchem,Percentage leerlingen gewoon lager onderwijs met schoolse vertraging,23.5621521,23.9981141,22.4422442,21.0551559,20.7851032,21.4574899,21.0578349,21.8998596,23.8881247,22.0856102
Berchem,Aandeel GOK-leerlingen basisonderwijs,0,0,0,0,0,0,0,0,0,0
Berchem,Aandeel indicator-leerlingen,0,0,0,0,0,0,0,0,0,44.8527622
Berchem,Aandeel met thuistaal niet Nederlands,0,0,0,0,0,0,0,0,0,34.241908
Berchem,Aandeel met laag opgeleide moeder,0,0,0,0,0,0,0,0,0,32.1002677
Berchem,Aandeel thuisloze leerlingen,0,0,0,0,0,0,0,0,0,0.7057678
Berchem,Aandeel leerlingen trekkende bevolking,0,0,0,0,0,0,0,0,0,0.413726
Berchem,Aandeel leerlingen met schooltoelage,0,0,0,0,0,0,0,0,0,30.9077634
Berchem,Aantal GOK-leerlingen basisonderwijs,0,0,0,0,0,0,0,0,0,0
Berchem,Aantal indicator-leerlingen basisonderwijs,0,0,0,0,0,0,0,0,0,1843
Berchem,Aantal leerlingen met thuistaal niet Nederlands,0,0,0,0,0,0,0,0,0,1407
Berchem,Aantal leerlingen met laag opgeleide moeder,0,0,0,0,0,0,0,0,0,1319
Berchem,Aantal thuisloze leerlingen,0,0,0,0,0,0,0,0,0,29
Berchem,Aantal leerlingen uit trekkende bevolking,0,0,0,0,0,0,0,0,0,17
Berchem,Aantal leerlingen met schooltoelage,0,0,0,0,0,0,0,0,0,1270
Berchem,Aantal leerlingen basisonderwijs (GOK-telling),0,0,0,0,0,0,0,0,0,4109
Borgerhout,Aantal leerlingen basisonderwijs,5284,5379,5347,5468,5569,5836,5806,6018,6238,6454
Borgerhout,Aandeel inwoners dat basisonderwijs volgt,12.7543508,12.8983526,12.7233789,12.9148067,13.0736906,13.5616852,13.3933103,13.947344,14.1515426,14.1628264
Borgerhout,Aantal leerlingen basisonderwijs - jongens,2588,2631,2638,2764,2871,3031,2963,3084,3208,3309
Borgerhout,Aantal leerlingen basisonderwijs - meisjes,2696,2748,2709,2704,2698,2805,2843,2934,3030,3145
Borgerhout,Aantal leerlingen basisonderwijs - school buiten Antwerpen,197,195,182,189,188,186,178,215,206,198
Borgerhout,Aantal leerlingen basisonderwijs - school binnen Antwerpen,5087,5184,5165,5279,5381,5650,5628,5803,6032,6256
Borgerhout,Leerlingen basisonderwijs - percentage jongens,48.9780469,48.9124373,49.3360763,50.5486467,51.5532412,51.9362577,51.0334137,51.2462612,51.4267393,51.2705299
Borgerhout,Leerlingen basisonderwijs - percentage meisjes,51.0219531,51.0875627,50.6639237,49.4513533,48.4467588,48.0637423,48.9665863,48.7537388,48.5732607,48.7294701
Borgerhout,Leerlingen basisonderwijs - percentage school buiten Antwerpen,3.7282362,3.6252091,3.4037778,3.456474,3.3758305,3.1871145,3.065794,3.5726155,3.3023405,3.0678649
Borgerhout,Leerlingen basisonderwijs - percentage school binnen Antwerpen,96.2717638,96.3747909,96.5962222,96.543526,96.6241695,96.8128855,96.934206,96.4273845,96.6976595,96.9321351
Borgerhout,Aantal leerlingen gewoon kleuteronderwijs,1993,2043,2084,2146,2179,2332,2359,2509,2590,2667
Borgerhout,Aantal leerlingen buitengewoon kleuteronderwijs,16,18,19,22,29,35,27,25,24,21
Borgerhout,Aantal leerlingen kleuteronderwijs totaal,2009,2061,2103,2168,2208,2367,2386,2534,2614,2688
Borgerhout,Leerlingen basisonderwijs - percentage gewoon kleuteronderwijs,37.7176382,37.9810374,38.9751262,39.2465252,39.1273119,39.9588759,40.6303824,41.6915919,41.5197179,41.3232104
Borgerhout,Leerlingen basisonderwijs - percentage buitengewoon kleuteronderwijs,0.3028009,0.3346347,0.3553394,0.4023409,0.5207398,0.5997258,0.4650362,0.4154204,0.3847387,0.3253796
Borgerhout,Leerlingen basisonderwijs - percentage kleuteronderwijs totaal,38.0204391,38.3156721,39.3304657,39.6488661,39.6480517,40.5586018,41.0954185,42.1070123,41.9044566,41.64859
Borgerhout,Aantal leerlingen gewoon lager onderwijs,2985,3033,2978,3035,3074,3206,3164,3228,3370,3527
Borgerhout,Aantal leerlingen buitengewoon lager onderwijs,290,285,266,265,287,263,256,256,254,239
Borgerhout,Aantal leerlingen lager onderwijs totaal,3275,3318,3244,3300,3361,3469,3420,3484,3624,3766
Borgerhout,Leerlingen basisonderwijs - percentage gewoon lager onderwijs,56.4912945,56.3859453,55.6947821,55.5047549,55.1984198,54.9348869,54.4953496,53.6390828,54.0237256,54.6482801
Borgerhout,Leerlingen basisonderwijs - percentage buitengewoon lager onderwijs,5.4882665,5.2983826,4.9747522,4.8463789,5.1535285,4.5065113,4.4092318,4.253905,4.0718179,3.7031298
Borgerhout,Leerlingen basisonderwijs - percentage lager onderwijs totaal,61.9795609,61.6843279,60.6695343,60.3511339,60.3519483,59.4413982,58.9045815,57.8929877,58.0955434,58.35141
Borgerhout,Aantal leerlingen gewoon lager onderwijs zonder schoolse vertraging,1829,1879,1851,1858,1903,1967,1940,2006,2129,2298
Borgerhout,Aantal leerlingen gewoon lager onderwijs met 1 jaar schoolse vertraging,852,832,803,825,803,865,862,842,898,891
Borgerhout,Aantal leerlingen gewoon lager onderwijs met meer dan 1 jaar schoolse vertraging,239,241,231,251,260,263,263,250,245,210
Borgerhout,Aantal leerlingen gewoon lager onderwijs met schoolse vertraging,1091,1073,1034,1076,1063,1128,1125,1092,1143,1101
Borgerhout,Percentage leerlingen gewoon lager onderwijs zonder schoolse vertraging,62.6369863,63.6517615,64.1594454,63.3265167,64.1604855,63.5541195,63.2952692,64.7514526,65.0672372,67.60812
Borgerhout,Percentage leerlingen gewoon lager onderwijs met 1 jaar schoolse vertraging,29.1780822,28.1842818,27.8336222,28.1186094,27.0734997,27.9483037,28.1239804,27.178825,27.4449878,26.2135922
Borgerhout,Percentage leerlingen gewoon lager onderwijs met meer dan 1 jaar schoolse vertraging,8.1849315,8.1639566,8.0069324,8.5548739,8.7660148,8.4975767,8.5807504,8.0697224,7.4877751,6.1782877
Borgerhout,Percentage leerlingen gewoon lager onderwijs met schoolse vertraging,37.3630137,36.3482385,35.8405546,36.6734833,35.8395145,36.4458805,36.7047308,35.2485474,34.9327628,32.39188
Borgerhout,Aandeel GOK-leerlingen basisonderwijs,0,0,0,0,0,0,0,0,0,0
Borgerhout,Aandeel indicator-leerlingen,0,0,0,0,0,0,0,0,0,71.504682
Borgerhout,Aandeel met thuistaal niet Nederlands,0,0,0,0,0,0,0,0,0,47.6105909
Borgerhout,Aandeel met laag opgeleide moeder,0,0,0,0,0,0,0,0,0,55.634485
Borgerhout,Aandeel thuisloze leerlingen,0,0,0,0,0,0,0,0,0,0.3228931
Borgerhout,Aandeel leerlingen trekkende bevolking,0,0,0,0,0,0,0,0,0,0.2906038
Borgerhout,Aandeel leerlingen met schooltoelage,0,0,0,0,0,0,0,0,0,55.4407491
Borgerhout,Aantal GOK-leerlingen basisonderwijs,0,0,0,0,0,0,0,0,0,0
Borgerhout,Aantal indicator-leerlingen basisonderwijs,0,0,0,0,0,0,0,0,0,4429
Borgerhout,Aantal leerlingen met thuistaal niet Nederlands,0,0,0,0,0,0,0,0,0,2949
Borgerhout,Aantal leerlingen met laag opgeleide moeder,0,0,0,0,0,0,0,0,0,3446
Borgerhout,Aantal thuisloze leerlingen,0,0,0,0,0,0,0,0,0,20
Borgerhout,Aantal leerlingen uit trekkende bevolking,0,0,0,0,0,0,0,0,0,18
Borgerhout,Aantal leerlingen met schooltoelage,0,0,0,0,0,0,0,0,0,3434
Borgerhout,Aantal leerlingen basisonderwijs (GOK-telling),0,0,0,0,0,0,0,0,0,6194
Deurne,Aantal leerlingen basisonderwijs,7192,7233,7106,7073,7177,7398,7610,7992,8422,8780
Deurne,Aandeel inwoners dat basisonderwijs volgt,10.3360064,10.3529715,10.1653696,10.1001014,10.1970646,10.4031612,10.5969671,10.9972067,11.4184224,11.6874992
Deurne,Aantal leerlingen basisonderwijs - jongens,3724,3729,3689,3660,3750,3802,3963,4105,4303,4529
Deurne,Aantal leerlingen basisonderwijs - meisjes,3468,3504,3417,3413,3427,3596,3647,3887,4119,4251
Deurne,Aantal leerlingen basisonderwijs - school buiten Antwerpen,531,552,520,558,563,606,597,712,784,876
Deurne,Aantal leerlingen basisonderwijs - school binnen Antwerpen,6661,6681,6586,6515,6614,6792,7013,7280,7638,7904
Deurne,Leerlingen basisonderwijs - percentage jongens,51.7797553,51.5553712,51.9138756,51.7460766,52.2502438,51.3922682,52.0762155,51.3638639,51.0923771,51.5831435
Deurne,Leerlingen basisonderwijs - percentage meisjes,48.2202447,48.4446288,48.0861244,48.2539234,47.7497562,48.6077318,47.9237845,48.6361361,48.9076229,48.4168565
Deurne,Leerlingen basisonderwijs - percentage school buiten Antwerpen,7.3832036,7.6316881,7.3177596,7.8891559,7.8445033,8.1914031,7.8449409,8.9089089,9.3089527,9.977221
Deurne,Leerlingen basisonderwijs - percentage school binnen Antwerpen,92.6167964,92.3683119,92.6822404,92.1108441,92.1554967,91.8085969,92.1550591,91.0910911,90.6910473,90.022779
Deurne,Aantal leerlingen gewoon kleuteronderwijs,2582,2601,2617,2644,2797,2913,3084,3312,3521,3690
Deurne,Aantal leerlingen buitengewoon kleuteronderwijs,29,26,32,26,23,25,30,34,42,40
Deurne,Aantal leerlingen kleuteronderwijs totaal,2611,2627,2649,2670,2820,2938,3114,3346,3563,3730
Deurne,Leerlingen basisonderwijs - percentage gewoon kleuteronderwijs,35.9010011,35.9601825,36.8280326,37.381592,38.9717152,39.3755069,40.5256242,41.4414414,41.8071717,42.0273349
Deurne,Leerlingen basisonderwijs - percentage buitengewoon kleuteronderwijs,0.4032258,0.3594636,0.4503237,0.3675951,0.3204682,0.3379292,0.3942181,0.4254254,0.4986939,0.4555809
Deurne,Leerlingen basisonderwijs - percentage kleuteronderwijs totaal,36.3042269,36.3196461,37.2783563,37.749187,39.2921834,39.7134361,40.9198423,41.8668669,42.3058656,42.4829157
Deurne,Aantal leerlingen gewoon lager onderwijs,4189,4204,4086,4021,3990,4082,4131,4256,4464,4637
Deurne,Aantal leerlingen buitengewoon lager onderwijs,392,402,371,382,367,378,365,390,395,413
Deurne,Aantal leerlingen lager onderwijs totaal,4581,4606,4457,4403,4357,4460,4496,4646,4859,5050
Deurne,Leerlingen basisonderwijs - percentage gewoon lager onderwijs,58.2452725,58.1224941,57.5007036,56.8499929,55.5942594,55.1770749,54.2838371,53.2532533,53.004037,52.8132118
Deurne,Leerlingen basisonderwijs - percentage buitengewoon lager onderwijs,5.4505006,5.5578598,5.2209401,5.40082,5.1135572,5.1094891,4.7963206,4.8798799,4.6900974,4.7038724
Deurne,Leerlingen basisonderwijs - percentage lager onderwijs totaal,63.6957731,63.6803539,62.7216437,62.250813,60.7078166,60.2865639,59.0801577,58.1331331,57.6941344,57.5170843
Deurne,Aantal leerlingen gewoon lager onderwijs zonder schoolse vertraging,2927,2985,2877,2862,2853,2907,2928,2972,3182,3333
Deurne,Aantal leerlingen gewoon lager onderwijs met 1 jaar schoolse vertraging,943,925,947,904,879,909,932,934,962,1029
Deurne,Aantal leerlingen gewoon lager onderwijs met meer dan 1 jaar schoolse vertraging,260,241,213,197,199,211,213,230,207,193
Deurne,Aantal leerlingen gewoon lager onderwijs met schoolse vertraging,1203,1166,1160,1101,1078,1120,1145,1164,1169,1222
Deurne,Percentage leerlingen gewoon lager onderwijs zonder schoolse vertraging,70.8716707,71.910383,71.2657914,72.2180167,72.5769524,72.1877328,71.8880432,71.8568665,73.1326132,73.1723381
Deurne,Percentage leerlingen gewoon lager onderwijs met 1 jaar schoolse vertraging,22.8329298,22.283787,23.4580134,22.8110018,22.3607225,22.5726347,22.8823963,22.582205,22.1098598,22.5905598
Deurne,Percentage leerlingen gewoon lager onderwijs met meer dan 1 jaar schoolse vertraging,6.2953995,5.8058299,5.2761952,4.9709816,5.0623251,5.2396325,5.2295605,5.5609284,4.757527,4.2371021
Deurne,Percentage leerlingen gewoon lager onderwijs met schoolse vertraging,29.1283293,28.089617,28.7342086,27.7819833,27.4230476,27.8122672,28.1119568,28.1431335,26.8673868,26.8276619
Deurne,Aandeel GOK-leerlingen basisonderwijs,0,0,0,0,0,0,0,0,0,0
Deurne,Aandeel indicator-leerlingen,0,0,0,0,0,0,0,0,0,61.2825748
Deurne,Aandeel met thuistaal niet Nederlands,0,0,0,0,0,0,0,0,0,36.6038189
Deurne,Aandeel met laag opgeleide moeder,0,0,0,0,0,0,0,0,0,44.5298427
Deurne,Aandeel thuisloze leerlingen,0,0,0,0,0,0,0,0,0,0.3002282
Deurne,Aandeel leerlingen trekkende bevolking,0,0,0,0,0,0,0,0,0,2.2577159
Deurne,Aandeel leerlingen met schooltoelage,0,0,0,0,0,0,0,0,0,42.0799808
Deurne,Aantal GOK-leerlingen basisonderwijs,0,0,0,0,0,0,0,0,0,0
Deurne,Aantal indicator-leerlingen basisonderwijs,0,0,0,0,0,0,0,0,0,5103
Deurne,Aantal leerlingen met thuistaal niet Nederlands,0,0,0,0,0,0,0,0,0,3048
Deurne,Aantal leerlingen met laag opgeleide moeder,0,0,0,0,0,0,0,0,0,3708
Deurne,Aantal thuisloze leerlingen,0,0,0,0,0,0,0,0,0,25
Deurne,Aantal leerlingen uit trekkende bevolking,0,0,0,0,0,0,0,0,0,188
Deurne,Aantal leerlingen met schooltoelage,0,0,0,0,0,0,0,0,0,3504
Deurne,Aantal leerlingen basisonderwijs (GOK-telling),0,0,0,0,0,0,0,0,0,8327
